model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,Time,-0.91945267,0.24372340,-3.77252519,0.00016160,-1.39715053,-0.44175480,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,PostJuly2024,1.47726004,17.38836700,0.08495680,0.93229573,-32.60393927,35.55845936,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,TimeAfterJuly2024,-0.74122130,1.61526095,-0.45888642,0.64631573,-3.90713276,2.42469015,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_02,20.59646558,16.59551023,1.24108661,0.21457375,-11.93073448,53.12366564,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_03,-4.64522586,16.68047087,-0.27848290,0.78064169,-37.33894877,28.04849704,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_04,-1.53853858,24.12824763,-0.06376504,0.94915732,-48.82990394,45.75282678,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_05,-0.56299012,20.76968650,-0.02710634,0.97837492,-41.27157565,40.14559541,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_06,38.53654056,21.18547730,1.81900743,0.06891030,-2.98699495,80.06007608,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_07,1.31524513,21.44353514,0.06133528,0.95109220,-40.71408375,43.34457401,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_08,26.26867370,16.54370587,1.58783491,0.11232368,-6.15698981,58.69433720,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_09,13.22011281,19.23827529,0.68717765,0.49197079,-24.48690676,50.92713238,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_10,-4.26126662,25.46786860,-0.16731933,0.86711880,-54.17828909,45.65575584,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_11,21.11664695,27.33370120,0.77254986,0.43978883,-32.45740739,74.69070130,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_12,12.88555525,18.88748588,0.68222713,0.49509534,-24.13391708,49.90502757,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
