app_id,schema27_title,schema27_institution,schema27_pi,website_match_status,website_match_count,start_date,start_dates_all,website_url,website_urls_all,website_titles_all,match_methods
66061,Data driven identification of therapeutic targets for non-invasive brain stimulation in mental health disorders and chronic pain.,Monash University,Professor Kate Hoy,matched_one_website_record,1,2021-03-01,2021-03-01,https://www.ukbiobank.ac.uk/projects/data-driven-identification-of-therapeutic-targets-for-non-invasive-brain-stimulation-in-mental-health-disorders-and-chronic-pain/,https://www.ukbiobank.ac.uk/projects/data-driven-identification-of-therapeutic-targets-for-non-invasive-brain-stimulation-in-mental-health-disorders-and-chronic-pain/,Data driven identification of therapeutic targets for non-invasive brain stimulation in mental health disorders and chronic pain.,unique_normalized_title
66074,Developing and evaluating statistical methodology for quantitative bias analysis,University of Bristol,Dr Rachael Hughes,matched_one_website_record,1,2021-06-30,2021-06-30,https://www.ukbiobank.ac.uk/projects/developing-and-evaluating-statistical-methodology-for-quantitative-bias-analysis/,https://www.ukbiobank.ac.uk/projects/developing-and-evaluating-statistical-methodology-for-quantitative-bias-analysis/,Developing and evaluating statistical methodology for quantitative bias analysis,unique_normalized_title
66128,Genetic profiling to predict longitudinal trajectories of disease,Cleveland Clinic Foundation,Dr Daniel Rotroff,matched_one_website_record,1,2021-03-18,2021-03-18,https://www.ukbiobank.ac.uk/projects/genetic-profiling-to-predict-longitudinal-trajectories-of-disease/,https://www.ukbiobank.ac.uk/projects/genetic-profiling-to-predict-longitudinal-trajectories-of-disease/,Genetic profiling to predict longitudinal trajectories of disease,unique_normalized_title
66137,"Polygeny and pleiotropy among quantitative traits, diseases of circulatory system, respiratory system, and mental disorders.",Southern University of Science and Technology,Professor Jie Huang,matched_one_website_record,1,2020-11-25,2020-11-25,https://www.ukbiobank.ac.uk/projects/polygeny-and-pleiotropy-among-quantitative-traits-diseases-of-circulatory-system-respiratory-system-and-mental-disorders/,https://www.ukbiobank.ac.uk/projects/polygeny-and-pleiotropy-among-quantitative-traits-diseases-of-circulatory-system-respiratory-system-and-mental-disorders/,"Polygeny and pleiotropy among quantitative traits, diseases of circulatory system, respiratory system, and mental disorders.",unique_normalized_title
66159,Healing the healer: the role of lifestyle and shift work on the health and wellbeing of UK Doctors.,University of Westminster,Dr Sanjoy Deb,matched_one_website_record,1,2021-03-01,2021-03-01,https://www.ukbiobank.ac.uk/projects/healing-the-healer-the-role-of-lifestyle-and-shift-work-on-the-health-and-wellbeing-of-uk-doctors/,https://www.ukbiobank.ac.uk/projects/healing-the-healer-the-role-of-lifestyle-and-shift-work-on-the-health-and-wellbeing-of-uk-doctors/,Healing the healer: the role of lifestyle and shift work on the health and wellbeing of UK Doctors.,unique_normalized_title
66163,"Associations of Dietary Factors and Vitamin Supplement Use with Risk of COVID-19, Chronic Disease and Mortality",National Cancer Institute,Dr Jiaqi Huang,matched_one_website_record,1,2020-09-22,2020-09-22,https://www.ukbiobank.ac.uk/projects/associations-of-dietary-factors-and-vitamin-supplement-use-with-risk-of-covid-19-chronic-disease-and-mortality/,https://www.ukbiobank.ac.uk/projects/associations-of-dietary-factors-and-vitamin-supplement-use-with-risk-of-covid-19-chronic-disease-and-mortality/,"Associations of Dietary Factors and Vitamin Supplement Use with Risk of COVID-19, Chronic Disease and Mortality",unique_normalized_title
66192,Advanced Statistical and Machine Learning Approaches for Identifying Gene-by-Environment Interactions Across Ancestral Populations,Brown University,Dr Curtis Boykin,matched_one_website_record,1,2022-01-17,2022-01-17,https://www.ukbiobank.ac.uk/projects/advanced-statistical-and-machine-learning-approaches-for-identifying-gene-by-environment-interactions-across-ancestral-populations/,https://www.ukbiobank.ac.uk/projects/advanced-statistical-and-machine-learning-approaches-for-identifying-gene-by-environment-interactions-across-ancestral-populations/,Advanced Statistical and Machine Learning Approaches for Identifying Gene-by-Environment Interactions Across Ancestral Populations,unique_normalized_title
66214,"Personalized prevention of dementia - integrating lifestyle, biomarkers and genomics.","Copenhagen University Hospital, University of Copenhagen",Professor Ruth Frikke-Schmidt,matched_one_website_record,1,2021-10-26,2021-10-26,https://www.ukbiobank.ac.uk/projects/personalized-prevention-of-dementia-integrating-lifestyle-biomarkers-and-genomics/,https://www.ukbiobank.ac.uk/projects/personalized-prevention-of-dementia-integrating-lifestyle-biomarkers-and-genomics/,"Personalized prevention of dementia – integrating lifestyle, biomarkers and genomics.",unique_normalized_title
66222,Genetic contributors to complex human traits: emphasis on neurological and cardiovascular-related diseases and the interplay between these two systems,Montreal Heart Institute,Dr Sarah Gagliano Taliun,matched_one_website_record,1,2020-10-26,2020-10-26,https://www.ukbiobank.ac.uk/projects/genetic-contributors-to-complex-human-traits-emphasis-on-neurological-and-cardiovascular-related-diseases-and-the-interplay-between-these-two-systems/,https://www.ukbiobank.ac.uk/projects/genetic-contributors-to-complex-human-traits-emphasis-on-neurological-and-cardiovascular-related-diseases-and-the-interplay-between-these-two-systems/,Genetic contributors to complex human traits: emphasis on neurological and cardiovascular-related diseases and the interplay between these two systems,unique_normalized_title
66233,"Development of MRI biomarkers for diagnosis and outcomes prediction, with focus on cardiac diseases (especially cardiomyopathies) and hepatic diseases (especially metabolic liver disease)",imvaria inc.,Dr Joshua Reicher,matched_one_website_record,1,2020-10-27,2020-10-27,https://www.ukbiobank.ac.uk/projects/development-of-mri-biomarkers-for-diagnosis-and-outcomes-prediction-with-focus-on-cardiac-diseases-especially-cardiomyopathies-and-hepatic-diseases-especially-metabolic-liver-disease/,https://www.ukbiobank.ac.uk/projects/development-of-mri-biomarkers-for-diagnosis-and-outcomes-prediction-with-focus-on-cardiac-diseases-especially-cardiomyopathies-and-hepatic-diseases-especially-metabolic-liver-disease/,"Development of MRI biomarkers for diagnosis and outcomes prediction, with focus on cardiac diseases (especially cardiomyopathies) and hepatic diseases (especially metabolic liver disease)",unique_normalized_title
66246,"Using causal machine learning to disentangle the demographic, social, and medical drivers of COVID-19 outcomes","Surgo Ventures, Inc.",Dr Sema Sgaier,matched_one_website_record,1,2020-11-25,2020-11-25,https://www.ukbiobank.ac.uk/projects/using-causal-machine-learning-to-disentangle-the-demographic-social-and-medical-drivers-of-covid-19-outcomes/,https://www.ukbiobank.ac.uk/projects/using-causal-machine-learning-to-disentangle-the-demographic-social-and-medical-drivers-of-covid-19-outcomes/,"Using causal machine learning to disentangle the demographic, social, and medical drivers of COVID-19 outcomes",unique_normalized_title
