specification,control_definition,design,intervention_date,sample_start,sample_end,term,estimate,std_error,z,p_value,ci_low,ci_high,n_obs,k_params,df_resid,nw_lag,inference
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_04,-0.68260115,0.98571815,-0.69249121,0.48862890,-2.61460872,1.24940641,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_05,-0.45318293,1.01611637,-0.44599510,0.65560078,-2.44477100,1.53840515,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_06,-4.55709803,0.24588990,-18.53308337,0.00000000,-5.03904224,-4.07515382,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_07,-2.66795096,0.72585251,-3.67561029,0.00023728,-4.09062188,-1.24528004,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_08,-1.82450879,2.25304549,-0.80979670,0.41805703,-6.24047795,2.59146037,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_09,-1.48106662,1.55458915,-0.95270614,0.34073898,-4.52806136,1.56592811,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_10,1.62760168,0.84242077,1.93205312,0.05335295,-0.02354303,3.27874640,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_11,2.41840112,0.82262196,2.93986939,0.00328351,0.80606208,4.03074017,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_12,1.87586723,0.62651438,2.99413275,0.00275226,0.64789904,3.10383541,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,Intercept,-2.12421221,0.37885298,-5.60695653,0.00000002,-2.86676406,-1.38166036,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,Time,0.30987846,0.04362117,7.10385424,0.00000000,0.22438096,0.39537595,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,ArtificialLevel,0.80592628,0.74568023,1.08079340,0.27978902,-0.65560698,2.26745954,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,ArtificialSlope,-0.33778201,0.05246234,-6.43856200,0.00000000,-0.44060820,-0.23495583,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_02,0.46938222,0.65569990,0.71584915,0.47408450,-0.81578959,1.75455402,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_03,0.33678901,0.93537659,0.36005712,0.71880441,-1.49654911,2.17012712,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_04,-0.74790144,1.03469698,-0.72282171,0.46978943,-2.77590752,1.28010464,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_05,-0.49925855,1.02070803,-0.48912964,0.62474992,-2.49984630,1.50132919,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_06,-4.58394900,0.24747503,-18.52287493,0.00000000,-5.06900005,-4.09889794,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_07,-2.75136373,0.76834836,-3.58088061,0.00034244,-4.25732651,-1.24540095,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_08,-1.89235118,2.20085405,-0.85982584,0.38988505,-6.20602512,2.42132275,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_09,-1.53333863,1.59813764,-0.95945342,0.33733037,-4.66568840,1.59901114,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_10,1.59185335,0.86167478,1.84739462,0.06468997,-0.09702922,3.28073592,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_11,2.39456890,0.81652491,2.93263424,0.00336100,0.79418008,3.99495772,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,month_12,1.86395112,0.62054705,3.00372248,0.00266698,0.64767890,3.08022333,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
