app_id,project_start_date,start_cohort,project_cohort,project_cohort_post_rap,followup_eligible_12m,pub12_fractional,anypub12,followup_eligible_18m,pub18_fractional,anypub18,followup_eligible_24m,pub24_fractional,anypub24
10589,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10625,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
10639,2017-03-29,2017H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10775,2016-01-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10813,2015-11-02,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
10948,2014-12-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10953,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10995,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
11036,2017-07-01,2017H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11058,2015-05-11,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11091,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11138,2015-08-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
11140,2015-04-15,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11193,2015-10-05,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11223,2016-05-02,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11332,2015-02-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11350,2019-01-17,2019H1,pre_rap_project_start,0,1,0.500000,1,1,0.500000,1,1,1.000000,1
11425,2015-06-01,2015H1,pre_rap_project_start,0,1,2.000000,1,1,2.000000,1,1,3.000000,1
11516,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11537,2016-03-07,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11559,2016-04-30,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11571,2017-04-12,2017H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11603,2016-11-01,2016H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11626,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11707,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11730,2015-01-27,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11795,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11805,2015-05-30,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11833,2016-05-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11867,2016-08-08,2016H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11898,2015-07-31,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
11983,2015-08-03,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12006,2015-08-27,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12010,2015-04-13,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12052,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12113,2015-08-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12184,2015-03-23,2015H1,pre_rap_project_start,0,1,1.000000,1,1,1.000000,1,1,1.000000,1
12243,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12291,2015-09-30,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12408,2015-06-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
12505,2015-08-30,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,2.000000,1
12514,2015-08-28,2015H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
12579,2016-03-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
12598,2016-01-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
