frequency,control_definition,outcome,event_time,estimate,clustered_se,p_value,ci_low,ci_high,reference_period,model
quarter,CONTROL_C05,publication_count,2,0.029734,0.051094,0.560600,-0.070410,0.129879,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,3,-0.002749,0.046230,0.952575,-0.093360,0.087861,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,4,-0.006930,0.041243,0.866561,-0.087766,0.073906,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,5,0.059176,0.034324,0.084702,-0.008099,0.126452,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,6,-0.042996,0.055300,0.436862,-0.151383,0.065392,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,7,0.019518,0.033857,0.564276,-0.046840,0.085877,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,-8,-0.052417,0.036744,0.153716,-0.124436,0.019602,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,-7,0.018570,0.025724,0.470352,-0.031849,0.068989,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,-6,0.022011,0.029746,0.459326,-0.036292,0.080313,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,-5,0.004268,0.022502,0.849568,-0.039835,0.048371,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,-4,0.017292,0.025754,0.501963,-0.033187,0.067770,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,-3,-0.011131,0.031009,0.719614,-0.071909,0.049646,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,-2,-0.020586,0.026540,0.437948,-0.072604,0.031432,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,0,-0.020414,0.032725,0.532755,-0.084555,0.043727,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,1,-0.017190,0.031126,0.580750,-0.078196,0.043816,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,2,0.018409,0.026207,0.482395,-0.032956,0.069775,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,3,-0.014531,0.031179,0.641194,-0.075642,0.046581,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,4,-0.004505,0.024911,0.856501,-0.053330,0.044321,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,5,0.025092,0.025044,0.316394,-0.023995,0.074179,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,6,0.020123,0.028314,0.477270,-0.035373,0.075619,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,any_publication,7,-0.002793,0.026290,0.915404,-0.054320,0.048735,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,-8,-0.078360,0.049005,0.109819,-0.174410,0.017690,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,-7,-0.077432,0.050127,0.122414,-0.175681,0.020817,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,-6,-0.079757,0.060594,0.188090,-0.198521,0.039007,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,-5,-0.079736,0.047382,0.092406,-0.172605,0.013132,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,-4,-0.009982,0.043902,0.820135,-0.096030,0.076066,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C06,publication_count,-3,0.049275,0.047663,0.301223,-0.044145,0.142694,2024Q2,app_fe_quarter_fe_project_age_bin_fe
