model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_10,-20.08117701,33.52402518,-0.59900853,0.54916720,-85.78826635,45.62591234,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_11,13.34793161,39.19979036,0.34051028,0.73347228,-63.48365749,90.17952072,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_12,-57.98486453,42.03778742,-1.37935101,0.16778656,-140.37892788,24.40919883,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,Intercept,42.16373381,22.81841718,1.84779398,0.06463215,-2.56036386,86.88783148,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,Time,-0.89090689,0.25830744,-3.44901750,0.00056263,-1.39718947,-0.38462430,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,PostJuly2024,-28.94885877,20.34421089,-1.42295314,0.15474974,-68.82351211,10.92579457,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,TimeAfterJuly2024,4.51061299,1.86341427,2.42061740,0.01549418,0.85832103,8.16290496,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_02,-5.55650206,27.49333586,-0.20210360,0.83983574,-59.44344035,48.33043623,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_03,-8.92475899,24.89106475,-0.35855272,0.71992972,-57.71124589,39.86172791,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_04,-24.32564106,30.84766733,-0.78857311,0.43036155,-84.78706902,36.13578689,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_05,-27.20810540,29.00888572,-0.93792315,0.34828391,-84.06552141,29.64931061,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_06,5.87006384,29.17472244,0.20120376,0.84053925,-51.31239213,63.05251981,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_07,-21.69096276,31.45291722,-0.68963278,0.49042515,-83.33868050,39.95675499,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_08,1.73339594,25.52642310,0.06790595,0.94586050,-48.29839333,51.76518522,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_09,-12.84423481,27.26554502,-0.47107933,0.63758408,-66.28470306,40.59623343,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_10,-31.85468411,28.46946404,-1.11890705,0.26317979,-87.65483363,23.94546541,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_11,-8.00584040,39.11412158,-0.20467903,0.83782291,-84.66951868,68.65783789,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_12,-17.76600197,35.82208546,-0.49595108,0.61992893,-87.97728946,52.44528553,90,0.21466810,1.46435883,3,OLS Newey-West HAC,2019-01 through 2026-06
