application_id,application_title,tier,best_matching_status,existing_curated_52,family_ids,repo_urls,evidence_type,confidence_note,included_in_tier_summary
7898,Genome-wide association studies of cognitive function.,Tier 5,candidate,no,family_shapeit5,https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
8370,Genome-wide association studies of hypertension and the overlap with mood disorders.,Tier 5,candidate,no,family_shapeit5,https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
8835,"Investigation of the causal association between vascular risk factors, cognitive function and dementia using genetic instruments",Tier 5,candidate,no,family_anyajacobs_ukbiobank,https://github.com/anyajacobs/UKBiobank,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
9616,The Genetics of Extreme Blood Indices by Whole Genome Sequencing,Tier 5,candidate,no,family_imds-wes; family_shapeit5,https://github.com/Sirius-Yang/IMDs_WES; https://github.com/odelaneau/shapeit5,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
9946,Associations between air pollution and respiratory health in large European cohorts,Tier 5,candidate,no,family_anyajacobs_ukbiobank,https://github.com/anyajacobs/UKBiobank,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
11425,The Social Science Genetic Association Consortium,Tier 5,candidate,no,family_genetic-association; family_ukbcc,https://github.com/Swadha22/Genetic_association; https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
14575,Whole-genome approaches for dissecting (shared) genetic architecture and individual risk prediction of complex traits in human populations,Tier 5,candidate,no,family_evidence-embracing-nm,https://github.com/saigerutherford/evidence_embracing_nm,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
14762,Mortality Prediction through Machine Learning,Tier 5,candidate,no,family_diabetes-prediction; family_im; family_ukbanalytica,https://github.com/Haileygu99/diabetes_prediction; https://github.com/laura-riedel/IM; https://github.com/blitz305/UKBAnalytica; https://github.com/lcx777-afk/UKBAnalytica,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
15168,"Vitamin D status and Musculoskeletal Health in the UK Biobank: Relationships with Genetic Polymorphisms, Diet, Gender and Lifestyle Factors in South Asian and Caucasian Populations",Tier 5,candidate,no,family_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
15678,"Genetic basis of circulating biomarkers, cardiometabolic disease, body composition and lifestyle",Tier 5,candidate,no,family_t2dm-ukb-predictions,https://github.com/yochaiedlitz/T2DM_UKB_predictions,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
16097,Phenome-wide association studies of drug targets,Tier 5,candidate,no,family_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
16577,Investigations of the genetic overlap between internalising psychiatric disorders and co-morbid physical health disorders.,Tier 5,candidate,no,family_genetic-survival-analysis-in-ukb; family_t2dm-ukb-predictions,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB; https://github.com/yochaiedlitz/T2DM_UKB_predictions,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
18177,Multi-trait GWAS analyses in the UK Biobank,Tier 5,candidate,no,family_gwas-phenotype; family_jm-gwas; family_multi-outcome; family_prs-height-admixed-populations; family_ptrs-ukb; family_udip-vit; family_ukb-brain-symptoms-clustering; family_ukb-gwaspipeline-subcorticalregions; family_ukbanalytica; family_ukbbprodromalpd; family_ukbgwas; family_viciousjoon_ukbiobank,https://github.com/albbaous/GWAS_phenotype; https://github.com/pebblets/JM-GWAS; https://github.com/Sandyyy123/JM-GWAS; https://github.com/xiechengyong123/JM-GWAS; https://github.com/zerland/JM-GWAS; https://github.com/Ikram-c/multi_outcome; https://github.com/mengjiefan/multi_outcome; https://github.com/Shicheng-Guo/PRS_Height_Admixed_Populations; https://github.com/CuihuaXia/ptrs-ukb; https://github.com/emyanuthomas/ptrs-ukb; https://github.com/hakyimlab/ptrs-ukb; https://github.com/cind/UDIP-ViT; https://github.com/ajpag/ukb-brain-symptoms-clustering; https://github.com/SkylerZhou/UKB_GWASpipeline_SubcorticalRegions; https://github.com/blitz305/UKBAnalytica; https://github.com/lcx777-afk/UKBAnalytica; https://github.com/samyak1729/ukbbprodromalpd; https://github.com/tolism/ukbbprodromalpd; https://github.com/lizhihao1990/ukbgwas; https://github.com/viciousjoon/ukbiobank,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
19189,Understanding observational and causal relationships in tinnitus prevalence and severity,Tier 5,candidate,no,family_anyajacobs_ukbiobank,https://github.com/anyajacobs/UKBiobank,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
19705,"Analysis of sleep phenotypes, genotypes and associated conditions",Tier 5,candidate,no,family_cnv-ukb; family_fundus-project; family_ukbb-gwas-dev; family_ukbcc; family_ukbgwas; family_ukbiobank-knockoffs,https://github.com/GeneticResources/cnv-ukb; https://github.com/joshoch7/fundus_project; https://github.com/ashwinas88/UKBB_GWAS_dev; https://github.com/LingTuo/UKBB_GWAS_dev; https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc; https://github.com/lizhihao1990/ukbgwas; https://github.com/LuZhangH/ukbiobank_knockoffs; https://github.com/zren94/ukbiobank_knockoffs,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
20650,Using the UK Biobank to validate and refine two diabetes risk prediction tools,Tier 5,candidate,no,family_ukbanalytica,https://github.com/Hinna0818/UKBAnalytica,supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
