design,frequency,control_definition,outcome,model,coefficient,cluster,n_obs,n_apps,n_treated_apps,n_control_apps,estimate,clustered_se,p_value,ci_low,ci_high,warning,note
Q1_quarterly_incumbent_did_age_adjusted,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe_project_age_bin_fe,treated_x_post,application,51515,3455,3324,131,0.025244,0.024148,0.295834,-0.022085,0.072573,,"age bins: q0,q1,q2,q3,q4_7,q8_11,q12_15,q16_23,q24_35,q36_47,q48_plus"
Q0_quarterly_drop_first_partial_period,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,50379,3455,3324,131,0.011006,0.025404,0.664851,-0.038787,0.060798,,drops first partial at-risk quarter
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe,treated_x_stable_post,application,48060,3455,3324,131,0.017940,0.022496,0.425180,-0.026152,0.062031,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_quarterly_exclude_top1pct_publication_apps,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,50598,3396,3267,129,-0.002238,0.015104,0.882183,-0.031843,0.027366,,excluded_top_1pct_apps=72
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,37104,2319,2229,90,-0.010672,0.031637,0.735875,-0.072680,0.051337,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,38587,2647,2532,115,0.004071,0.015733,0.795821,-0.026765,0.034907,,active-project exposure robustness using pre-treatment start date only
Q0_recent_projects_started_after_2020,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,32203,2248,2151,97,0.009839,0.016897,0.560386,-0.023279,0.042957,,active-project exposure robustness using pre-treatment start date only
Q0_quarterly_incumbent_did,quarter,CONTROL_C05,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,51515,3455,3324,131,-0.002373,0.012360,0.847738,-0.026599,0.021852,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q0_quarterly_incumbent_did,quarter,CONTROL_C05,any_publication,application_fe_calendar_quarter_fe,treated_x_post,institution,51515,3455,3324,131,-0.002373,0.013453,0.859974,-0.028741,0.023995,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q1_quarterly_incumbent_did_age_adjusted,quarter,CONTROL_C05,any_publication,application_fe_calendar_quarter_fe_project_age_bin_fe,treated_x_post,application,51515,3455,3324,131,0.003050,0.011772,0.795560,-0.020023,0.026123,,"age bins: q0,q1,q2,q3,q4_7,q8_11,q12_15,q16_23,q24_35,q36_47,q48_plus"
