app_id	pub_id
9637	15792
9659	3242
9659	3243
9659	13470
9659	15353
9659	18592
9797	3943
9797	4923
9797	5166
9797	5963
9797	7552
9797	8466
9797	9549
9797	12899
9905	4503
9905	4663
9905	4931
9905	5085
9905	7540
9905	7636
9905	8523
9905	8547
9905	8738
9905	9211
9905	9217
9905	9605
9905	9968
9905	10207
9905	10819
9905	11163
9905	11578
9905	11585
9905	11751
9905	11772
9905	12198
9905	12647
9905	12694
9905	13096
9905	13383
9905	13442
9905	13506
9905	14012
9905	14435
9905	14741
9905	15389
9905	15671
9905	15742
9905	15820
9905	16646
9905	17866
9905	17944
9905	18312
9905	18677
9905	19025
9914	2343
9914	4469
9914	4686
9914	4795
9914	4941
9914	5125
9914	7525
9914	7542
9914	8551
9914	10944
9914	11123
9914	11577
9914	12025
9914	12420
9914	12541
9914	12864
9914	13692
9914	13764
9914	15420
9914	16399
9914	17518
9914	17587
9922	3791
9922	3991
9922	4119
9922	4755
9922	4938
9922	5367
9922	5378
9922	8457
9922	10786
9922	11965
9922	11987
9922	13686
9922	13748
9922	13754
9922	14315
9946	2529
9946	2530
9979	3920
9979	7280
9979	7333
9979	7442
9979	8535
9979	8686
9979	10223
10035	2303
10035	3391
10035	4782
10035	8504
10035	8566
10035	12574
10035	13684
10061	4242
10061	4401
10061	7418
10074	4014
10074	4815
10074	5274
10074	7427
10074	8495
10074	8823
10074	9673
10074	12042
10074	13738
10171	2759
10171	3887
10171	4080
10171	4149
10171	4644
10171	5547
10171	9320
10171	11537
10171	12221
10171	12222
10171	12401
10171	13750
10171	17160
10205	9315
10205	9449
10205	10750
10205	13918
10205	14060
10205	15788
10205	18604
10205	18674
10214	3394
10279	761
10279	763
10279	797
10279	1523
10279	2175
10279	2772
10279	2773
10279	2787
10279	2837
10279	2838
10279	2839
10279	3144
10279	3185
10279	3745
10279	3858
10279	4013
10279	4018
10279	4276
10279	4531
10279	4532
10279	4672
10279	4827
10279	4903
10279	4994
10279	5225
10279	5323
10279	5465
10279	5590
10279	5601
10279	5781
10279	5840
10279	5986
10279	7281
10279	7334
10279	7543
10279	7545
10279	8418
10279	8425
10279	8440
10279	8459
10279	8475
10279	8477
10279	8483
10279	8534
10279	8688
10279	9161
10279	10099
10279	10196
10279	10841
10279	11184
10279	11428
10279	11674
10279	12508
10279	12659
10279	12900
10279	13339
10279	13838
10279	14728
10279	16134
10279	16665
10279	17788
10279	19090
10438	737
10438	5321
10438	6009
10438	7547
10438	7549
10438	8446
10438	10816
10438	12356
10438	12877
10536	4865
10625	3053
10625	4339
10625	5178
10775	4055
10775	4963
10775	5533
10775	7231
10775	7489
10775	7507
10775	10960
10775	13730
10775	15257
10813	4270
10813	7342
10948	3881
10948	13811
10953	5946
10953	12562
10953	13797
10995	2903
10995	13777
11036	7128
11058	4688
11058	11493
11138	703
11138	2884
11138	5653
11138	5980
11140	2794
11193	4196
11223	17882
11332	793
11332	2944
11332	5942
11332	11057
11332	11527
11350	3127
11350	3933
11350	7124
11350	7454
11350	7473
11350	8081
11350	9239
11350	9697
11350	10141
11350	10267
11350	10504
11350	12190
11350	12605
11350	13014
11350	13452
11350	15328
11350	15419
11350	18050
11350	19820
11425	718
11425	719
11425	1783
11425	2160
11425	2888
11425	3066
11425	3587
11425	4877
11425	5446
11425	7349
11425	7580
11425	7667
11425	9112
11425	12367
11425	15632
11425	17450
11425	18685
11516	3084
11516	4512
11516	5053
11516	5705
11516	15441
11537	5861
11537	11323
11559	4001
11559	4035
11559	7217
11559	7469
11559	7700
11559	7721
11559	8120
11559	9231
11559	10686
11559	10907
11559	12130
11559	12434
11559	14346
11559	15425
11559	16643
11559	17991
11559	18498
11559	19031
11559	19895
11559	20334
11707	777
11707	778
11707	9160
11730	4085
11730	4124
11730	4305
11730	8468
11730	8552
11730	8612
11730	8719
11730	10107
11730	11179
11730	11345
11730	12666
11730	13729
11730	13735
11730	17519
11730	18466
11805	14025
11833	4787
11833	9244
11867	1943
11867	2805
11867	4459
11867	4630
11867	7116
11867	7726
11867	8678
11867	11679
11867	12509
11867	13857
11867	19567
11867	20577
11898	2183
11898	5830
11898	7512
11898	8821
11898	8886
11898	9117
11898	10441
11898	10911
11898	12657
11898	13726
11898	18235
12006	4286
12006	4961
12006	5020
12006	8502
12006	9313
12006	9413
12006	13728
12010	3785
12010	3979
12010	5859
12010	7432
12010	8895
12010	9840
12010	10205
12010	13894
12052	7347
12052	9228
12113	8863
12113	10423
12113	11384
12113	13368
12113	13402
12113	15475
12113	15591
12113	16172
12113	17867
12113	19158
12113	19798
12113	20203
12113	20451
12184	3967
12184	4623
12184	7375
12184	8467
12184	10868
12408	7295
12408	7906
12505	1832
12505	2905
12505	3202
12505	3256
12505	3302
12505	3366
12505	3394
12505	3448
12505	3584
12505	3631
12505	3673
12505	4793
12505	4991
12505	5073
12505	5563
12505	5578
12505	7253
12505	7335
12505	7440
12505	7975
12505	7992
12505	8327
12505	8472
12505	8553
12505	9101
12505	9173
12505	9302
12505	9448
12505	9559
12505	10387
12505	10566
12505	10865
12505	10898
12505	11016
12505	11091
12505	11300
12505	11389
12505	11570
12505	12143
12505	12502
12505	12913
12505	13720
12505	14041
12505	14190
12505	14225
12505	15178
12505	15831
12505	17630
12505	17913
12505	18634
12514	1823
12514	3042
12514	3061
12514	3075
12514	3085
12514	3256
12514	3302
12514	3448
12514	3453
12514	3678
12514	4579
12514	4593
12514	4904
12514	7330
12514	7639
12514	10137
12514	12029
12514	12039
12514	12881
12579	2880
12579	10660
12579	10826
12611	1826
12611	4108
12611	4722
12611	4723
12611	5093
12611	5830
12611	7535
