period,period_start,frequency,applications_started,post_july2024_period,exact_post_july2024_applications,strict_21_leakage_risk_applications,strict_21_leakage_rate,strict_21_leakage_rate_percent,main_27_leakage_risk_applications,main_27_leakage_rate,main_27_leakage_rate_percent,archived_broad_48_leakage_risk_applications,archived_broad_48_leakage_rate,archived_broad_48_leakage_rate_percent,final_expanded_leakage_risk_applications,final_expanded_leakage_rate,final_expanded_leakage_rate_percent
2024-05,2024-05-01,monthly,33,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-06,2024-06-01,monthly,10,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-07,2024-07-01,monthly,3,1,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-08,2024-08-01,monthly,0,1,0,0,,,0,,,0,,,0,,
2024-09,2024-09-01,monthly,1,1,1,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-10,2024-10-01,monthly,208,1,208,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-11,2024-11-01,monthly,156,1,156,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-12,2024-12-01,monthly,106,1,106,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-01,2025-01-01,monthly,100,1,100,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-02,2025-02-01,monthly,110,1,110,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-03,2025-03-01,monthly,110,1,110,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-04,2025-04-01,monthly,181,1,181,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-05,2025-05-01,monthly,126,1,126,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-06,2025-06-01,monthly,160,1,160,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-07,2025-07-01,monthly,191,1,191,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-08,2025-08-01,monthly,117,1,117,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.00854701,0.85470,1,0.00854701,0.85470
2025-09,2025-09-01,monthly,165,1,165,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-10,2025-10-01,monthly,131,1,131,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-11,2025-11-01,monthly,169,1,169,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2025-12,2025-12-01,monthly,102,1,102,1,0.00980392,0.98039,1,0.00980392,0.98039,1,0.00980392,0.98039,1,0.00980392,0.98039
2026-01,2026-01-01,monthly,145,1,145,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2026-02,2026-02-01,monthly,119,1,119,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2026-03,2026-03-01,monthly,141,1,141,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2026-04,2026-04-01,monthly,63,1,63,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2026-05,2026-05-01,monthly,0,1,0,0,,,0,,,0,,,0,,
2026-06,2026-06-01,monthly,0,1,0,0,,,0,,,0,,,0,,
2026-07,2026-07-01,monthly,1,1,1,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2026-08,2026-08-01,monthly,1,1,1,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
