application_id,application_title,project_start_date,start_month,start_quarter,start_month_number,Post,Time,TimeAfter,Leak52,Leak55
11138,Genomic and evolutionary analyses of common disease in a large cohort,2015-08-01,2015-08-01,2015-07-01,8,0,38,0,0,0
11140,Prediction of macrovascular complications in individuals with diabetes.,2015-04-15,2015-04-01,2015-04-01,4,0,34,0,0,0
11193,`Relevance of genetic determinants of major lipids to health and disease` - The Lipids Working Group of the UK Biobank Cardiometabolic Consortium,2015-10-05,2015-10-01,2015-10-01,10,0,40,0,0,0
11223,Population prevalence of putative cardiomyopathy-causing genetic variants.,2016-05-02,2016-05-01,2016-04-01,5,0,47,0,0,0
11332,Cognitive outcomes in people with behavioural and brain disorders within UK Biobank,2015-02-01,2015-02-01,2015-01-01,2,0,32,0,0,0
11350,"CARDIOMARKER- Computational imaging phenomics in population cardiac MRI with automatic image quality assessment: benchmarking, scalability and inference with state-of-the-art algorithms.",2019-01-17,2019-01-01,2019-01-01,1,0,79,0,0,0
11425,The Social Science Genetic Association Consortium,2015-06-01,2015-06-01,2015-04-01,6,0,36,0,0,0
11516,Understanding genetic and environmental causes of age-related hearing loss and tinnitus,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
11537,Epidemiology of aortic stenosis,2016-03-07,2016-03-01,2016-01-01,3,0,45,0,0,0
11559,Enhancing Neuro Imaging Genetics through Meta Analysis,2016-04-30,2016-04-01,2016-04-01,4,0,46,0,0,0
11571,The Genetics and Epidemiology of Fibrosis,2017-04-12,2017-04-01,2017-04-01,4,0,58,0,0,0
11603,Using UK Biobank to integrate individual information on small area studies of environmental health effects,2016-11-01,2016-11-01,2016-10-01,11,0,53,0,0,0
11626,Statistical methods for high-dimensional phenotypes in UK Biobank,2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
11707,Genetics of blood-cell traits,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
11730,The UK Biobank Urban Morphometric Platform -Deciphering associations of built environment morphometrics with individual health and lifestyle,2015-01-27,2015-01-01,2015-01-01,1,0,31,0,0,0
11795,Genome-wide association study for inguinal hernia,2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
11805,Inferring causal pathways in immune-mediated disease,2015-05-30,2015-05-01,2015-04-01,5,0,35,0,0,0
11833,Vitamin D pathway and major disease outcomes: Observational associations and causal inference by Mendelian randomisation.,2016-05-01,2016-05-01,2016-04-01,5,0,47,0,0,0
11867,Dissection of the Genetic Susceptibility of Obesity Traits and their Comorbidities,2016-08-08,2016-08-01,2016-07-01,8,0,50,0,0,0
11898,Genetic studies of anthropometric traits and methods for analysis of multiple phenotypes,2015-07-31,2015-07-01,2015-07-01,7,0,37,0,0,0
11983,"Are individuals with inflammatory arthritis at higher risk of falling, and do they have poorer bone health, as assessed by heel ultrasound and dual energy x-ray absorptiometry scanning?",2015-08-03,2015-08-01,2015-07-01,8,0,38,0,0,0
12006,"The value of risk scores to predict in the UK biobank population to predict clinical outcome, with a focus on atherosclerotic and thrombotic vascular events.",2015-08-27,2015-08-01,2015-07-01,8,0,38,0,0,0
12010,Determinants of human cardiac structure and function and relation with outcome,2015-04-13,2015-04-01,2015-04-01,4,0,34,0,0,0
12052,Study of genetic factors altering susceptibility to quantitative traits underlying skin cancer,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
12113,"Harnessing associations of genetic and phenotypic traits for drug target validation, Ref: 12113.",2015-08-01,2015-08-01,2015-07-01,8,0,38,0,0,0
12184,"Type 2 diabetes, physical activity, sedentary behaviour and sleep.",2015-03-23,2015-03-01,2015-01-01,3,0,33,0,1,1
12243,Application to Contact Patients regarding Treatment In Morning vs Evening (TIME) Study,2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
12291,Genetic and Environmental Risk Factors Associated with Oral Health,2015-09-30,2015-09-01,2015-07-01,9,0,39,0,0,0
12408,Studying the impact of Neanderthal gene flow on human biology,2015-06-01,2015-06-01,2015-04-01,6,0,36,0,0,0
12505,Dissecting the genetic basis of relationships between early-life and later-life events,2015-08-30,2015-08-01,2015-07-01,8,0,38,0,0,0
12514,The limits of predicting complex traits and diseases from genetic data,2015-08-28,2015-08-01,2015-07-01,8,0,38,0,0,0
12579,Machine Learning for Abnormality Detection in Imaging Studies with Application to Auto-QC and Identification of Pathology-specific Outliers through Correlation with Non-Image Data,2016-03-01,2016-03-01,2016-01-01,3,0,45,0,0,0
12598,"Discovering the genetic determinants of clinically measured blood pressure in over 1,000,000 subjects from the UK Biobank, the VA Million Veteran's Project (MVP), and the eMERGE network.",2016-01-01,2016-01-01,2016-01-01,1,0,43,0,0,0
