start_month,n_applications,observed_events,observed_rate,fitted_rate,outcome,outcome_label
2023-09-01,57,1,0.017543859649122806,0.011078732214820433,Leak55,Broad 55 attribution outcome
2023-10-01,71,0,0.0,0.0034651821010175093,Leak55,Broad 55 attribution outcome
2023-11-01,80,0,0.0,0.008240828150198321,Leak55,Broad 55 attribution outcome
2023-12-01,37,0,0.0,0.004509452401015772,Leak55,Broad 55 attribution outcome
2024-01-01,75,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2024-02-01,51,1,0.0196078431372549,0.008194188037210268,Leak55,Broad 55 attribution outcome
2024-03-01,83,1,0.012048192771084338,0.011253329470217406,Leak55,Broad 55 attribution outcome
2024-04-01,72,0,0.0,0.008276698991599106,Leak55,Broad 55 attribution outcome
2024-05-01,33,0,0.0,0.007932966607474475,Leak55,Broad 55 attribution outcome
2024-06-01,10,0,0.0,0.006008756261518872,Leak55,Broad 55 attribution outcome
2024-07-01,3,0,0.0,0.004187457362785884,Leak55,Broad 55 attribution outcome
2024-09-01,1,0,0.0,0.0003156248226424731,Leak55,Broad 55 attribution outcome
2024-10-01,208,0,0.0,0.00011206548574436199,Leak55,Broad 55 attribution outcome
2024-11-01,156,0,0.0,0.00030253902456386987,Leak55,Broad 55 attribution outcome
2024-12-01,106,0,0.0,0.00018793128397925077,Leak55,Broad 55 attribution outcome
2025-01-01,100,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2025-02-01,110,0,0.0,0.00044005874706042796,Leak55,Broad 55 attribution outcome
2025-03-01,110,0,0.0,0.000686041670005633,Leak55,Broad 55 attribution outcome
2025-04-01,181,0,0.0,0.0005727846244407014,Leak55,Broad 55 attribution outcome
2025-05-01,126,0,0.0,0.0006232101900587591,Leak55,Broad 55 attribution outcome
2025-06-01,160,0,0.0,0.0005358561710337164,Leak55,Broad 55 attribution outcome
2025-07-01,191,0,0.0,0.0004239149920800317,Leak55,Broad 55 attribution outcome
2025-08-01,117,1,0.008547008547008548,0.0012978868333121758,Leak55,Broad 55 attribution outcome
2025-09-01,165,0,0.0,0.0012515675338217163,Leak55,Broad 55 attribution outcome
2025-10-01,131,0,0.0,0.00044438052256264157,Leak55,Broad 55 attribution outcome
2025-11-01,169,0,0.0,0.0011996775718972812,Leak55,Broad 55 attribution outcome
2025-12-01,102,1,0.00980392156862745,0.000745216081703096,Leak55,Broad 55 attribution outcome
2026-01-01,145,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2026-02-01,119,0,0.0,0.0017449934266386138,Leak55,Broad 55 attribution outcome
2026-03-01,141,0,0.0,0.0027204054289497424,Leak55,Broad 55 attribution outcome
2026-04-01,63,0,0.0,0.002271299937122812,Leak55,Broad 55 attribution outcome
