app_id,period,period_start,period_end,publication_count,any_publication,project_start_date,p1_existing_project_sample,original_stage3_classification,control_layer,regression_group_CONTROL_C0,regression_group_CONTROL_C01,regression_group_CONTROL_C03,regression_group_CONTROL_C05
5855,post24,2024-07-05,2026-07-04,0,0,2015-08-31,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5864,pre24,2022-07-05,2024-07-04,3,1,2014-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5864,post24,2024-07-05,2026-07-04,0,0,2014-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5974,pre24,2022-07-05,2024-07-04,1,1,2015-05-02,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5974,post24,2024-07-05,2026-07-04,0,0,2015-05-02,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6077,pre24,2022-07-05,2024-07-04,1,1,2015-04-01,1,NEWLY_RAP_BOUND,C6,treated,treated,treated,treated
6077,post24,2024-07-05,2026-07-04,2,1,2015-04-01,1,NEWLY_RAP_BOUND,C6,treated,treated,treated,treated
6326,pre24,2022-07-05,2024-07-04,1,1,2014-08-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6326,post24,2024-07-05,2026-07-04,1,1,2014-08-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6342,pre24,2022-07-05,2024-07-04,0,0,2016-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6342,post24,2024-07-05,2026-07-04,0,0,2016-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6507,pre24,2022-07-05,2024-07-04,0,0,2015-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6507,post24,2024-07-05,2026-07-04,0,0,2015-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6553,pre24,2022-07-05,2024-07-04,1,1,2014-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6553,post24,2024-07-05,2026-07-04,0,0,2014-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6569,pre24,2022-07-05,2024-07-04,6,1,2014-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6569,post24,2024-07-05,2026-07-04,7,1,2014-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6684,pre24,2022-07-05,2024-07-04,0,0,2015-08-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6684,post24,2024-07-05,2026-07-04,0,0,2015-08-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6728,pre24,2022-07-05,2024-07-04,0,0,2015-05-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6728,post24,2024-07-05,2026-07-04,0,0,2015-05-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6763,pre24,2022-07-05,2024-07-04,0,0,2014-03-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6763,post24,2024-07-05,2026-07-04,0,0,2014-03-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6818,pre24,2022-07-05,2024-07-04,11,1,2015-03-15,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6818,post24,2024-07-05,2026-07-04,9,1,2015-03-15,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
6989,pre24,2022-07-05,2024-07-04,0,0,2014-07-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
6989,post24,2024-07-05,2026-07-04,0,0,2014-07-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
7036,pre24,2022-07-05,2024-07-04,2,1,2014-04-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7036,post24,2024-07-05,2026-07-04,0,0,2014-04-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7089,pre24,2022-07-05,2024-07-04,41,1,2015-01-01,1,ALREADY_RAP_BOUND,C0,control,control,control,control
7089,post24,2024-07-05,2026-07-04,24,1,2015-01-01,1,ALREADY_RAP_BOUND,C0,control,control,control,control
7140,pre24,2022-07-05,2024-07-04,0,0,2014-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7140,post24,2024-07-05,2026-07-04,0,0,2014-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7155,pre24,2022-07-05,2024-07-04,24,1,2014-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7155,post24,2024-07-05,2026-07-04,9,1,2014-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7206,pre24,2022-07-05,2024-07-04,0,0,2015-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7206,post24,2024-07-05,2026-07-04,0,0,2015-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7439,pre24,2022-07-05,2024-07-04,6,1,2013-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
7439,post24,2024-07-05,2026-07-04,5,1,2013-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
